rank,name3,count,length
806,lorraine,62,8
807,bower,62,5
808,rawson,62,6
809,louise,62,6
810,turnbull,61,8
811,sandalwood,61,10
812,chelsea,61,7
813,watkins,61,7
814,golf links,61,10
815,isabella,61,8
816,kay,61,3
817,rosedale,61,8
818,lomandra,61,8
819,watt,61,4
820,frank,61,5
821,federation,61,10
822,pindari,61,7
823,sovereign,61,9
824,bunya,61,5
825,lennox,61,6
826,dawn,61,4
827,illawarra,61,9
828,henty,61,5
829,clayton,61,7
830,ethel,60,5
831,eastern,60,7
832,eliza,60,5
833,hilton,60,6
834,bolton,60,6
835,bluegum,60,7
836,blue gum,60,8
837,daisy,60,5
838,honeyeater,60,10
839,ian,60,3
840,byrne,60,5
841,portland,60,8
842,gill,60,4
843,milne,60,5
844,trinity,60,7
845,newell,60,6
846,evergreen,60,9
847,black,59,5
848,mulga,59,5
849,the boulevard,59,13
850,hampden,59,7
851,shearwater,59,10
852,flynn,59,5
853,blackbutt,59,9
854,crescent,59,8
855,garnet,59,6
856,hermitage,59,9
857,carnarvon,59,9
858,daphne,59,6
859,fowler,59,6
860,lisa,59,4
861,harding,59,7
862,eucalypt,59,8
863,rebecca,59,7
864,tucker,59,6
865,chambers,59,8
866,balfour,59,7
867,edwin,59,5
868,norton,58,6
869,bathurst,58,8
870,canberra,58,8
871,orion,58,5
872,fleming,58,7
873,glenelg,58,7
874,dampier,58,7
875,fenton,58,6
876,lilac,58,5
877,maria,58,5
878,jennings,58,8
879,mcintosh,58,8
880,dundas,58,6
881,service,58,7
882,harrow,58,6
883,terry,58,5
884,skyline,58,7
885,sunshine,58,8
886,holt,58,4
887,leichhardt,58,10
888,coventry,58,8
889,gum,57,3
890,dunlop,57,6
891,piper,57,5
892,bowden,57,6
893,virginia,57,8
894,daintree,57,8
895,griffith,57,8
896,martins,57,7
897,gilmore,57,7
898,jersey,57,6
899,roslyn,57,6
900,glover,57,6
901,poole,57,5
902,howe,57,4
903,sandra,57,6
904,stokes,57,6
905,johns,57,5
906,oleander,57,8
907,lily,57,4
908,mccarthy,57,8
909,abbey,56,5
910,irwin,56,5
911,pleasant,56,8
912,egan,56,4
913,knox,56,4
914,innes,56,5
915,scotts,56,6
916,tulloch,56,7
917,walton,56,6
918,kingsley,56,8
919,parkland,56,8
920,mcmillan,56,8
921,bray,56,4
922,beatrice,56,8
923,stephenson,56,10
924,kenneth,56,7
925,avalon,56,6
926,tara,56,4
927,rankin,56,6
928,aerodrome,56,9
929,bells,56,5
930,bentley,56,7
931,avondale,56,8
932,raleigh,56,7
933,tea tree,56,8
934,jabiru,56,6
935,henley,56,6
936,strickland,56,10
937,wakefield,56,9
938,hotham,55,6
939,marlborough,55,11
